epoch,lr_scheduler,step,train_acc,train_loss,val_acc,val_loss
,0.0009,4,,,,
0,,4,0.590624988079071,0.7085300087928772,,
,0.0009,9,,,,
0,,9,0.6812499761581421,0.39152806997299194,,
,0.0009,14,,,,
0,,14,0.7791666388511658,0.23556962609291077,,
,0.0009,19,,,,
0,,19,0.83203125,0.19149696826934814,,
,0.0009,24,,,,
0,,24,0.8656250238418579,0.1004379466176033,,
,0.0009,29,,,,
0,,29,0.8880208134651184,0.07205044478178024,,
,0.0009,34,,,,
0,,34,0.9035714268684387,0.03825006261467934,,
,0.0009,39,,,,
0,,39,0.915234386920929,0.025233611464500427,,
,0.0009,44,,,,
0,,44,0.9246527552604675,0.016458630561828613,,
,0.0009,49,,,,
0,,49,0.9321874976158142,0.012837404385209084,,
,0.0009,54,,,,
0,,54,0.9375,0.037919484078884125,,
,0.0009,59,,,,
0,,59,0.938281238079071,0.5217396020889282,,
,0.0009,64,,,,
0,,64,0.9365384578704834,0.009427626617252827,,
,0.0009,69,,,,
0,,69,0.9388392567634583,0.04614485800266266,,
,0.0009,74,,,,
0,,74,0.9427083134651184,0.017739059403538704,,
,0.0009,79,,,,
0,,79,0.946093738079071,0.015150060877203941,,
,0.0009,84,,,,
0,,84,0.9492647051811218,0.010579590685665607,,
,0.0009,89,,,,
0,,89,0.9519097208976746,0.012522494420409203,,
,0.0009,94,,,,
0,,94,0.9542763233184814,0.006212710868567228,,
,0.0009,99,,,,
0,,99,0.9565625190734863,0.009279944002628326,,
,0.0009,104,,,,
0,,104,0.9584821462631226,0.007616994436830282,,
,0.0009,109,,,,
0,,109,0.9603692889213562,0.004183219745755196,,
,0.0009,114,,,,
0,,114,0.962092399597168,0.003915615379810333,,
,0.0009,119,,,,
0,,119,0.963671863079071,0.007177273277193308,,
,0.0009,124,,,,
0,,124,0.9651250243186951,0.007299297954887152,,
,0.0009,129,,,,
0,,129,0.9664663672447205,0.005788516718894243,,
0,,130,,,0.7979632019996643,0.001562954392284155
,9e-05,134,,,,
1,,134,0.9676146507263184,0.005675154738128185,,
,9e-05,139,,,,
1,,139,0.9687744975090027,0.005499411839991808,,
,9e-05,144,,,,
1,,144,0.9697461128234863,0.0024060553405433893,,
,9e-05,149,,,,
1,,149,0.9707571864128113,0.003244156716391444,,
,9e-05,154,,,,
1,,154,0.9717028737068176,0.004205172881484032,,
,9e-05,159,,,,
1,,159,0.9725893139839172,0.0027490255888551474,,
,9e-05,164,,,,
1,,164,0.9734219312667847,0.003128406126052141,,
,9e-05,169,,,,
1,,169,0.9742054343223572,0.0032604734878987074,,
,9e-05,174,,,,
1,,174,0.9749440550804138,0.003086487529799342,,
,9e-05,179,,,,
1,,179,0.9756416082382202,0.002940979553386569,,
,9e-05,184,,,,
1,,184,0.9763013124465942,0.004025890026241541,,
,9e-05,189,,,,
1,,189,0.9769262671470642,0.003506468376144767,,
,9e-05,194,,,,
1,,194,0.9775190949440002,0.0029971476178616285,,
,9e-05,199,,,,
1,,199,0.9780821800231934,0.0024424230214208364,,
,9e-05,204,,,,
1,,204,0.978617787361145,0.003249518806114793,,
,9e-05,209,,,,
1,,209,0.979127824306488,0.0031647789292037487,,
,9e-05,214,,,,
1,,214,0.9796141386032104,0.004382082726806402,,
,9e-05,219,,,,
1,,219,0.9800782799720764,0.006002192851155996,,
,9e-05,224,,,,
1,,224,0.9805217385292053,0.0027662976644933224,,
,9e-05,229,,,,
1,,229,0.980945885181427,0.0039165145717561245,,
,9e-05,234,,,,
1,,234,0.9813519716262817,0.003981062676757574,,
,9e-05,239,,,,
1,,239,0.9817411303520203,0.0025582730304449797,,
,9e-05,244,,,,
1,,244,0.982114315032959,0.0029583475552499294,,
,9e-05,249,,,,
1,,249,0.9824725985527039,0.0029494441114366055,,
,9e-05,254,,,,
1,,254,0.9828168153762817,0.0024935677647590637,,
,9e-05,259,,,,
1,,259,0.9831477403640747,0.002012216951698065,,
1,,261,,,0.9355267882347107,0.0012568518286570907
,9e-06,264,,,,
2,,264,0.9834417700767517,0.0029554429929703474,,
,9e-06,269,,,,
2,,269,0.9836912155151367,0.0028061342891305685,,
,9e-06,274,,,,
2,,274,0.9839885830879211,0.0025860262103378773,,
,9e-06,279,,,,
2,,279,0.9842753410339355,0.0022596532944589853,,
,9e-06,284,,,,
2,,284,0.9845519661903381,0.0027802693657577038,,
,9e-06,289,,,,
2,,289,0.9848189949989319,0.003341017058119178,,
,9e-06,294,,,,
2,,294,0.9850770235061646,0.0029066100250929594,,
,9e-06,299,,,,
2,,299,0.98532634973526,0.002208425896242261,,
,9e-06,304,,,,
2,,304,0.9855675101280212,0.003998486790806055,,
,9e-06,309,,,,
2,,309,0.9858009219169617,0.0022031005937606096,,
,9e-06,314,,,,
2,,314,0.9860268235206604,0.0028868962544947863,,
,9e-06,319,,,,
2,,319,0.9862456917762756,0.002483402146026492,,
,9e-06,324,,,,
2,,324,0.9864578247070312,0.0029173949733376503,,
,9e-06,329,,,,
2,,329,0.9866635203361511,0.0022725407034158707,,
,9e-06,334,,,,
2,,334,0.9868630170822144,0.002334880642592907,,
,9e-06,339,,,,
2,,339,0.9870566725730896,0.003493739292025566,,
,9e-06,344,,,,
2,,344,0.9872446656227112,0.002442648634314537,,
,9e-06,349,,,,
2,,349,0.987427294254303,0.0025651389732956886,,
,9e-06,354,,,,
2,,354,0.9876047372817993,0.002393813803792,,
,9e-06,359,,,,
2,,359,0.9877772927284241,0.004107568878680468,,
,9e-06,364,,,,
2,,364,0.9879450798034668,0.002956768963485956,,
,9e-06,369,,,,
2,,369,0.9881083369255066,0.00278504122979939,,
,9e-06,374,,,,
2,,374,0.9882672429084778,0.003280392149463296,,
,9e-06,379,,,,
2,,379,0.9884219169616699,0.002082318067550659,,
,9e-06,384,,,,
2,,384,0.9885725975036621,0.0021772824693471193,,
,9e-06,389,,,,
2,,389,0.9887194037437439,0.0032276094425469637,,
2,,392,,,0.9604719877243042,0.0012256238842383027
,9.000000000000001e-07,394,,,,
3,,394,0.9888514280319214,0.0027127398643642664,,
,9.000000000000001e-07,399,,,,
3,,399,0.9889912009239197,0.006671956740319729,,
,9.000000000000001e-07,404,,,,
3,,404,0.989127516746521,0.0039226701483130455,,
,9.000000000000001e-07,409,,,,
3,,409,0.9892604351043701,0.0023526931181550026,,
,9.000000000000001e-07,414,,,,
3,,414,0.9893901944160461,0.0032472775783389807,,
,9.000000000000001e-07,419,,,,
3,,419,0.9895168542861938,0.002360676182433963,,
,9.000000000000001e-07,424,,,,
3,,424,0.9896405339241028,0.004528312012553215,,
,9.000000000000001e-07,429,,,,
3,,429,0.9897613525390625,0.0029854467138648033,,
,9.000000000000001e-07,434,,,,
3,,434,0.9898793697357178,0.0040971762500703335,,
,9.000000000000001e-07,439,,,,
3,,439,0.9899946451187134,0.003028454026207328,,
,9.000000000000001e-07,444,,,,
3,,444,0.9901073575019836,0.0034250235185027122,,
,9.000000000000001e-07,449,,,,
3,,449,0.9902175664901733,0.0042971959337592125,,
,9.000000000000001e-07,454,,,,
3,,454,0.9903253316879272,0.0026166089810431004,,
,9.000000000000001e-07,459,,,,
3,,459,0.9904307723045349,0.0028084120713174343,,
,9.000000000000001e-07,464,,,,
3,,464,0.9905339479446411,0.00707824295386672,,
,9.000000000000001e-07,469,,,,
3,,469,0.9906349182128906,0.002662971382960677,,
,9.000000000000001e-07,474,,,,
3,,474,0.9907337427139282,0.0024917232804000378,,
,9.000000000000001e-07,479,,,,
3,,479,0.9908304810523987,0.002865344053134322,,
,9.000000000000001e-07,484,,,,
3,,484,0.9909252524375916,0.003618833376094699,,
,9.000000000000001e-07,489,,,,
3,,489,0.9910180568695068,0.0023685083724558353,,
,9.000000000000001e-07,494,,,,
3,,494,0.9911090135574341,0.002431130036711693,,
,9.000000000000001e-07,499,,,,
3,,499,0.9911981225013733,0.002043950604274869,,
,9.000000000000001e-07,504,,,,
3,,504,0.9912854433059692,0.0036068526096642017,,
,9.000000000000001e-07,509,,,,
3,,509,0.9913710951805115,0.00242831208743155,,
,9.000000000000001e-07,514,,,,
3,,514,0.991455078125,0.004050553310662508,,
,9.000000000000001e-07,519,,,,
3,,519,0.9915373921394348,0.002105873543769121,,
3,,523,,,0.9714136719703674,0.0012214998714625835
