  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr       dur
     83            0.7643        0.9778       0.6470            0.6470        0.8807  0.0492  301.3278
     84            0.7735        0.9035       0.6601            0.6601        0.8694  0.0492  293.9041
     85            0.7596        0.8630       0.6516            0.6516        0.8962  0.0491  309.1523
     86            0.7708        0.9012       0.6539            0.6539        0.8735  0.0491  293.1221
     87            0.7851        0.8783       0.6601            0.6601        0.8709  0.0491  307.5126
     88            0.7836        0.8487       0.6651            0.6651        0.8525  0.0491  285.8323
     89            0.7770        0.8544       0.6547            0.6547        0.8739  0.0490  287.6542
     90            0.7978        0.8573       0.6694            0.6694        0.8420  0.0490  295.1291
     91            0.7581        0.8282       0.6200            0.6200        0.9468  0.0490  302.7629
     92            0.7631        0.8397       0.6312            0.6312        0.8921  0.0490  288.1809
     93            0.7913        0.8758       0.6532            0.6532        0.8641  0.0490  285.4718
     94            0.7519        0.8436       0.6277            0.6277        0.9042  0.0489  281.7915
     95            0.7897        0.9236       0.6562            0.6562        0.8953  0.0489  299.7950
     96            0.7280        0.9360       0.6177            0.6177        0.9176  0.0489  291.8867
     97            0.7735        0.8415       0.6335            0.6335        0.8808  0.0489  301.5208
     98            0.7704        0.8777       0.6559            0.6559        0.8694  0.0488  287.8268
     99            0.7874        0.8591       0.6578            0.6578        0.8623  0.0488  292.8836
    100            0.7573        0.8899       0.6404            0.6404        0.9042  0.0488  284.5790
    101            0.7832        0.9986       0.6597            0.6597        0.8607  0.0488  287.7570
    102            0.7809        0.9042       0.6640            0.6640        0.8537  0.0487  297.4124
    103            0.7743        0.8992       0.6532            0.6532        0.8739  0.0487  300.8482
    104            0.8110        0.8940       0.6682            0.6682        0.8379  0.0487  285.3473
    105            0.7890        0.8400       0.6690            0.6690        0.8450  0.0487  297.9641
    106            0.7704        0.8651       0.6346            0.6346        0.9163  0.0486  310.1392
    107            0.7905        0.8371       0.6674            0.6674        0.8587  0.0486  307.5011
    108            0.7172        0.9194       0.6111            0.6111        0.9535  0.0486  303.4399
    109            0.7762        0.8628       0.6508            0.6508        0.8706  0.0486  290.0504
    110            0.7959        0.8518       0.6647            0.6647        0.8431  0.0485  300.6013
    111            0.7670        0.8681       0.6481            0.6481        0.8778  0.0485  311.5281
    112            0.7990        0.8543       0.6605            0.6605        0.8515  0.0485  303.8138
    113            0.7708        0.8464       0.6478            0.6478        0.8800  0.0485  292.1923
    114            0.6902        0.8505       0.5957            0.5957        1.0092  0.0484  276.8093
    115            0.7832        0.9377       0.6578            0.6578        0.8596  0.0484  295.8598
    116            0.8071        0.8244       0.6771            0.6771        0.8457  0.0484  301.6290
    117            0.7716        0.8764       0.6458            0.6458        0.8733  0.0484  298.5032
    118            0.7658        0.9073       0.6447            0.6447        0.8967  0.0483  297.1462
    119            0.8090        0.8585       0.6736            0.6736        0.8271  0.0483  293.7059
    120            0.7867        0.8500       0.6671            0.6671        0.8463  0.0483  305.5162
    121            0.7731        0.8385       0.6508            0.6508        0.8737  0.0482  290.7718
    122            0.7909        0.8635       0.6590            0.6590        0.8363  0.0482  280.1352
    123            0.7573        0.8885       0.6443            0.6443        0.8986  0.0482  289.8825
    124            0.8106        0.8446       0.6817            0.6817        0.8284  0.0482  282.8787
    125            0.7924        0.8521       0.6366            0.6366        0.8798  0.0481  284.5395
    126            0.8125        0.8525       0.6771            0.6771        0.8278  0.0481  291.3382
    127            0.7677        0.8438       0.6470            0.6470        0.8700  0.0481  291.6610
    128            0.7998        0.8717       0.6728            0.6728        0.8339  0.0480  293.2725
    129            0.7743        0.8776       0.6439            0.6439        0.8703  0.0480  291.1248
    130            0.7461        0.9175       0.6304            0.6304        0.8889  0.0480  294.4942
    131            0.7894        0.8009       0.6667            0.6667        0.8475  0.0479  286.2741
    132            0.7647        0.8434       0.6520            0.6520        0.8616  0.0479  302.8931
    133            0.7689        0.8384       0.6250            0.6250        0.9058  0.0479  297.7548
    134            0.8002        0.8701       0.6736            0.6736        0.8268  0.0478  302.4816
    135            0.7542        0.8021       0.6362            0.6362        0.9300  0.0478  301.7426
