epoch,lr_scheduler,step,train_acc,train_loss,val_acc,val_loss
,0.0009,4,,,,
0,,4,0.7593749761581421,0.49253129959106445,,
,0.0009,9,,,,
0,,9,0.878125011920929,0.15679609775543213,,
,0.0009,14,,,,
0,,14,0.9125000238418579,0.0910591259598732,,
,0.0009,19,,,,
0,,19,0.934374988079071,0.04183806851506233,,
,0.0009,24,,,,
0,,24,0.9468749761581421,0.030990803614258766,,
,0.0009,29,,,,
0,,29,0.9552083611488342,0.04744066298007965,,
,0.0009,34,,,,
0,,34,0.9602678418159485,0.1081552505493164,,
,0.0009,39,,,,
0,,39,0.963671863079071,0.009741006419062614,,
,0.0009,44,,,,
0,,44,0.9666666388511658,0.008993169292807579,,
,0.0009,49,,,,
0,,49,0.9693750143051147,0.0646798387169838,,
,0.0009,54,,,,
0,,54,0.971875011920929,0.006617639679461718,,
,0.0009,59,,,,
0,,59,0.973437488079071,0.014871008694171906,,
,0.0009,64,,,,
0,,64,0.9730769395828247,0.004353211261332035,,
,0.0009,69,,,,
0,,69,0.9707589149475098,0.6980949640274048,,
,0.0009,74,,,,
0,,74,0.96854168176651,0.01211337000131607,,
,0.0009,79,,,,
0,,79,0.9693359136581421,0.00887237023562193,,
,0.0009,84,,,,
0,,84,0.9707720875740051,0.08078449219465256,,
,0.0009,89,,,,
0,,89,0.9723958373069763,0.0059768278151750565,,
,0.0009,94,,,,
0,,94,0.9736841917037964,0.0062192571349442005,,
,0.0009,99,,,,
0,,99,0.9750000238418579,0.006192406639456749,,
,0.0009,104,,,,
0,,104,0.976190447807312,0.00548537727445364,,
,0.0009,109,,,,
0,,109,0.9772727489471436,0.003753848373889923,,
,0.0009,114,,,,
0,,114,0.97826087474823,0.003801146522164345,,
,0.0009,119,,,,
0,,119,0.9791666865348816,0.0031328352633863688,,
,0.0009,124,,,,
0,,124,0.9800000190734863,0.003231537062674761,,
,0.0009,129,,,,
0,,129,0.9807692170143127,0.0019360887818038464,,
0,,130,,,0.7979632019996643,0.0007249325281009078
,9e-05,134,,,,
1,,134,0.9814277291297913,0.0018075918778777122,,
,9e-05,139,,,,
1,,139,0.9820929169654846,0.0019081777427345514,,
,9e-05,144,,,,
1,,144,0.9827120304107666,0.002169171115383506,,
,9e-05,149,,,,
1,,149,0.9832898378372192,0.0017671242821961641,,
,9e-05,154,,,,
1,,154,0.9838302135467529,0.0015757600776851177,,
,9e-05,159,,,,
1,,159,0.9843367338180542,0.0023578922264277935,,
,9e-05,164,,,,
1,,164,0.984717607498169,0.0015489102806895971,,
,9e-05,169,,,,
1,,169,0.9851680994033813,0.002715389709919691,,
,9e-05,174,,,,
1,,174,0.9855928421020508,0.0018814614741131663,,
,9e-05,179,,,,
1,,179,0.9859939217567444,0.0021872103679925203,,
,9e-05,184,,,,
1,,184,0.986373245716095,0.002064577303826809,,
,9e-05,189,,,,
1,,189,0.9867326021194458,0.0020082825794816017,,
,9e-05,194,,,,
1,,194,0.9870734810829163,0.0019290602067485452,,
,9e-05,199,,,,
1,,199,0.9873972535133362,0.0021425457671284676,,
,9e-05,204,,,,
1,,204,0.9877052307128906,0.001649613375775516,,
,9e-05,209,,,,
1,,209,0.9879984855651855,0.001982287038117647,,
,9e-05,214,,,,
1,,214,0.9882781505584717,0.0022807708010077477,,
,9e-05,219,,,,
1,,219,0.9885450005531311,0.0017798225162550807,,
,9e-05,224,,,,
1,,224,0.9887999892234802,0.0016350331716239452,,
,9e-05,229,,,,
1,,229,0.9890438914299011,0.0018128645606338978,,
,9e-05,234,,,,
1,,234,0.9892773628234863,0.0017528908792883158,,
,9e-05,239,,,,
1,,239,0.9895011186599731,0.0017444079276174307,,
,9e-05,244,,,,
1,,244,0.9897157549858093,0.001756020588800311,,
,9e-05,249,,,,
1,,249,0.9899217486381531,0.0016626727301627398,,
,9e-05,254,,,,
1,,254,0.9901196956634521,0.002140676835551858,,
,9e-05,259,,,,
1,,259,0.9903099536895752,0.0013159739319235086,,
1,,261,,,0.9355267882347107,0.0005680127651430666
,9e-06,264,,,,
2,,264,0.9904789924621582,0.00170088279992342,,
,9e-06,269,,,,
2,,269,0.9906558394432068,0.0020853327587246895,,
,9e-06,274,,,,
2,,274,0.9908261895179749,0.001790686510503292,,
,9e-06,279,,,,
2,,279,0.9909904599189758,0.0021249984856694937,,
,9e-06,284,,,,
2,,284,0.9911490082740784,0.001797791919670999,,
,9e-06,289,,,,
