epoch,lr_scheduler,step,train_acc,train_loss,val_acc,val_loss
,0.002,4,,,,
0,,4,0.800000011920929,0.7583351731300354,,
,0.002,9,,,,
0,,9,0.8999999761581421,0.7440500855445862,,
,0.002,14,,,,
0,,14,0.9333333373069763,0.7437061071395874,,
,0.002,19,,,,
0,,19,0.949999988079071,0.7436789870262146,,
,0.002,24,,,,
0,,24,0.9599999785423279,0.7436720728874207,,
,0.002,29,,,,
0,,29,0.9666666388511658,0.7436705827713013,,
,0.002,34,,,,
0,,34,0.9714285731315613,0.7436694502830505,,
,0.002,39,,,,
0,,39,0.9750000238418579,0.7436696887016296,,
,0.002,44,,,,
0,,44,0.9777777791023254,0.7436702251434326,,
,0.002,49,,,,
0,,49,0.9800000190734863,0.7436697483062744,,
,0.002,54,,,,
0,,54,0.9818181991577148,0.7436699271202087,,
,0.002,59,,,,
0,,59,0.9833333492279053,0.7436689138412476,,
,0.002,64,,,,
0,,64,0.9846153855323792,0.7436691522598267,,
,0.002,69,,,,
0,,69,0.9857142567634583,0.7436695098876953,,
,0.002,74,,,,
0,,74,0.9866666793823242,0.7436690330505371,,
,0.002,79,,,,
0,,79,0.987500011920929,0.743669331073761,,
,0.002,84,,,,
0,,84,0.9882352948188782,0.7436696290969849,,
,0.002,89,,,,
0,,89,0.9888888597488403,0.743669331073761,,
,0.002,94,,,,
0,,94,0.9894737005233765,0.7436690926551819,,
,0.002,99,,,,
0,,99,0.9900000095367432,0.7436702847480774,,
,0.002,104,,,,
0,,104,0.9904761910438538,0.7436689734458923,,
,0.002,109,,,,
0,,109,0.9909090995788574,0.7436689138412476,,
,0.002,114,,,,
0,,114,0.991304337978363,0.7436695098876953,,
,0.002,119,,,,
0,,119,0.9916666746139526,0.7436690330505371,,
,0.002,124,,,,
0,,124,0.9919999837875366,0.7436689734458923,,
,0.002,129,,,,
0,,129,0.9923076629638672,0.7436692714691162,,
0,,133,,,0.7413930296897888,0.7436684966087341
,0.0002,134,,,,
1,,134,0.9925477504730225,0.7436696887016296,,
,0.0002,139,,,,
1,,139,0.9928154349327087,0.7436692714691162,,
,0.0002,144,,,,
1,,144,0.9930645823478699,0.7436693906784058,,
,0.0002,149,,,,
1,,149,0.9932970404624939,0.7436702251434326,,
,0.0002,154,,,,
1,,154,0.9935144186019897,0.7436691522598267,,
,0.0002,159,,,,
1,,159,0.9937180876731873,0.7436692714691162,,
,0.0002,164,,,,
1,,164,0.9939094185829163,0.7436689138412476,,
,0.0002,169,,,,
1,,169,0.9940894246101379,0.7436704635620117,,
,0.0002,174,,,,
1,,174,0.9942590594291687,0.7436696887016296,,
,0.0002,179,,,,
1,,179,0.994419276714325,0.7436690926551819,,
,0.0002,184,,,,
1,,184,0.9945707321166992,0.7436699867248535,,
