epoch,lr_scheduler,step,train_acc,train_loss,val_acc,val_loss
,0.002,4,,,,
0,,4,0.7906249761581421,0.7823668718338013,,
,0.002,9,,,,
0,,9,0.895312488079071,0.7450463175773621,,
,0.002,14,,,,
0,,14,0.9302083253860474,0.7437694072723389,,
,0.002,19,,,,
0,,19,0.9476562738418579,0.7436928153038025,,
,0.002,24,,,,
0,,24,0.9581249952316284,0.7436726689338684,,
,0.002,29,,,,
0,,29,0.9651041626930237,0.743671178817749,,
,0.002,34,,,,
0,,34,0.9700892567634583,0.7436702251434326,,
,0.002,39,,,,
0,,39,0.973828136920929,0.743669867515564,,
,0.002,44,,,,
0,,44,0.9767361283302307,0.7436701059341431,,
,0.002,49,,,,
0,,49,0.9790624976158142,0.7436699867248535,,
,0.002,54,,,,
0,,54,0.9809659123420715,0.7436689734458923,,
,0.002,59,,,,
0,,59,0.9825521111488342,0.7436690926551819,,
,0.002,64,,,,
0,,64,0.9838942289352417,0.7436692714691162,,
,0.002,69,,,,
0,,69,0.9850446581840515,0.743669867515564,,
,0.002,74,,,,
0,,74,0.9860416650772095,0.7436695694923401,,
,0.002,79,,,,
0,,79,0.9869140386581421,0.7436692714691162,,
,0.002,84,,,,
0,,84,0.9876838326454163,0.7436695098876953,,
,0.002,89,,,,
0,,89,0.988368034362793,0.7436692118644714,,
,0.002,94,,,,
0,,94,0.988980233669281,0.7436690926551819,,
,0.002,99,,,,
0,,99,0.9895312786102295,0.7436692118644714,,
,0.002,104,,,,
0,,104,0.9900297522544861,0.743669331073761,,
,0.002,109,,,,
0,,109,0.9904829263687134,0.7436701059341431,,
,0.002,114,,,,
0,,114,0.9908967614173889,0.7436689734458923,,
,0.002,119,,,,
0,,119,0.9912760257720947,0.7436695098876953,,
,0.002,124,,,,
0,,124,0.9916250109672546,0.7436691522598267,,
,0.002,129,,,,
0,,129,0.9919471144676208,0.7436699867248535,,
0,,133,,,0.7413930296897888,0.7436685562133789
,0.0002,134,,,,
1,,134,0.9921984076499939,0.7436692714691162,,
,0.0002,139,,,,
1,,139,0.9924786686897278,0.7436695098876953,,
,0.0002,144,,,,
1,,144,0.9927394986152649,0.7436692714691162,,
,0.0002,149,,,,
1,,149,0.992982804775238,0.7436703443527222,,
,0.0002,154,,,,
1,,154,0.9932103753089905,0.743669867515564,,
,0.0002,159,,,,
1,,159,0.9934236407279968,0.7436691522598267,,
,0.0002,164,,,,
1,,164,0.9936239123344421,0.743669331073761,,
,0.0002,169,,,,
1,,169,0.9938123226165771,0.743669331073761,,
,0.0002,174,,,,
1,,174,0.9939899444580078,0.7436693906784058,,
,0.0002,179,,,,
1,,179,0.9941576719284058,0.7436688542366028,,
,0.0002,184,,,,
1,,184,0.9943162798881531,0.7436690330505371,,
,0.0002,189,,,,
1,,189,0.9944664835929871,0.7436691522598267,,
,0.0002,194,,,,
1,,194,0.9946089386940002,0.7436699867248535,,
,0.0002,199,,,,
1,,199,0.9947443008422852,0.7436689734458923,,
,0.0002,204,,,,
1,,204,0.9948729872703552,0.7436698079109192,,
,0.0002,209,,,,
1,,209,0.9949955344200134,0.7436699271202087,,
,0.0002,214,,,,
1,,214,0.9951123595237732,0.7436690330505371,,
,0.0002,219,,,,
1,,219,0.9952238202095032,0.7436693906784058,,
,0.0002,224,,,,
1,,224,0.9953303337097168,0.7436692714691162,,
,0.0002,229,,,,
1,,229,0.9954322576522827,0.7436689138412476,,
,0.0002,234,,,,
1,,234,0.9955297708511353,0.7436693906784058,,
,0.0002,239,,,,
1,,239,0.9956232309341431,0.7436693906784058,,
,0.0002,244,,,,
1,,244,0.9957128167152405,0.7436689138412476,,
,0.0002,249,,,,
1,,249,0.9957988262176514,0.743669867515564,,
,0.0002,254,,,,
1,,254,0.9958814978599548,0.7436707019805908,,
,0.0002,259,,,,
1,,259,0.9959609508514404,0.7436692714691162,,
,0.0002,264,,,,
1,,264,0.9960373640060425,0.7436689734458923,,
1,,267,,,0.9174743294715881,0.7436685562133789
,2e-05,269,,,,
2,,269,0.9960992336273193,0.7436691522598267,,
,2e-05,274,,,,
2,,274,0.9961705803871155,0.743669331073761,,
,2e-05,279,,,,
2,,279,0.9962393641471863,0.7436691522598267,,
,2e-05,284,,,,
2,,284,0.9963057041168213,0.7436693906784058,,
,2e-05,289,,,,
2,,289,0.9963697195053101,0.743669331073761,,
,2e-05,294,,,,
2,,294,0.9964315891265869,0.7436692118644714,,
,2e-05,299,,,,
2,,299,0.9964914321899414,0.7436691522598267,,
,2e-05,304,,,,
2,,304,0.9965492486953735,0.7436690926551819,,
,2e-05,309,,,,
2,,309,0.9966052174568176,0.7436690330505371,,
,2e-05,314,,,,
2,,314,0.9966593384742737,0.7436690926551819,,
,2e-05,319,,,,
2,,319,0.996711790561676,0.7436692714691162,,
,2e-05,324,,,,
2,,324,0.9967626333236694,0.7436697483062744,,
,2e-05,329,,,,
2,,329,0.9968119263648987,0.7436690330505371,,
,2e-05,334,,,,
2,,334,0.9968597888946533,0.7436691522598267,,
,2e-05,339,,,,
2,,339,0.9969061613082886,0.7436690926551819,,
,2e-05,344,,,,
2,,344,0.9969512224197388,0.7436688542366028,,
,2e-05,349,,,,
2,,349,0.9969949722290039,0.7436696887016296,,
,2e-05,354,,,,
2,,354,0.9970374703407288,0.7436697483062744,,
,2e-05,359,,,,
2,,359,0.9970788359642029,0.7436695098876953,,
,2e-05,364,,,,
2,,364,0.9971190094947815,0.7436692118644714,,
,2e-05,369,,,,
2,,369,0.9971581101417542,0.7436695098876953,,
,2e-05,374,,,,
2,,374,0.9971961975097656,0.7436693906784058,,
,2e-05,379,,,,
2,,379,0.9972332119941711,0.7436692118644714,,
,2e-05,384,,,,
2,,384,0.997269332408905,0.7436690330505371,,
,2e-05,389,,,,
2,,389,0.9973044991493225,0.7436692118644714,,
,2e-05,394,,,,
2,,394,0.9973387122154236,0.7436691522598267,,
,2e-05,399,,,,
2,,399,0.9973721504211426,0.7436691522598267,,
2,,401,,,0.9494041800498962,0.7436685562133789
