  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
     83            0.7589        0.8186       0.5957            0.5957        0.9864  0.0197  189.3521
     84            0.7955        0.8312       0.6265            0.6265        0.9239  0.0197  189.7531
     85            0.7728        0.8163       0.6115            0.6115        0.9549  0.0197  175.3097
     86            0.8067        0.8266       0.6265            0.6265        0.9214  0.0196  160.5888
     87            0.7890        0.7920       0.6227            0.6227        0.9286  0.0196  152.4236
     88            0.7863        0.8136       0.6281            0.6281        0.9301  0.0196  156.4415
     89            0.8075        0.8008       0.6373            0.6373        0.9028  0.0196  154.1195
     90            0.7921        0.8044       0.6165            0.6165        0.9344  0.0196  158.4459
     91            0.8021        0.8015       0.6227            0.6227        0.9279  0.0196  157.7216
     92            0.7758        0.8224       0.6088            0.6088        0.9534  0.0196  152.2915
     93            0.8218        0.7952       0.6427            0.6427        0.8971  0.0196  155.0793
     94            0.7921        0.7832       0.6173            0.6173        0.9194  0.0196  159.0283
     95            0.7940        0.8215       0.6227            0.6227        0.9332  0.0196  153.0642
     96            0.7975        0.8029       0.6265            0.6265        0.9271  0.0196  151.1768
     97            0.7658        0.7901       0.6092            0.6092        0.9593  0.0195  153.5433
     98            0.8102        0.8097       0.6292            0.6292        0.9097  0.0195  152.7796
     99            0.8071        0.7956       0.6273            0.6273        0.8987  0.0195  156.1660
    100            0.8322        0.7929       0.6470            0.6470        0.8913  0.0195  152.7718
    101            0.7886        0.7911       0.6184            0.6184        0.9466  0.0195  153.9927
    102            0.7878        0.7950       0.6138            0.6138        0.9442  0.0195  155.0842
    103            0.7670        0.8089       0.5899            0.5899        0.9925  0.0195  159.3651
    104            0.7936        0.8011       0.6046            0.6046        0.9599  0.0195  155.0018
    105            0.7546        0.7969       0.5992            0.5992        0.9727  0.0195  156.1156
    106            0.8430        0.7709       0.6451            0.6451        0.8776  0.0195  161.5607
    107            0.8302        0.7948       0.6466            0.6466        0.8941  0.0194  154.6543
    108            0.7851        0.7907       0.6100            0.6100        0.9438  0.0194  154.3356
    109            0.8287        0.7987       0.6242            0.6242        0.9253  0.0194  154.5684
    110            0.8302        0.7912       0.6273            0.6273        0.9159  0.0194  152.3152
    111            0.8005        0.7727       0.6127            0.6127        0.9413  0.0194  150.3391
    112            0.8156        0.7690       0.6173            0.6173        0.9402  0.0194  157.2001
    113            0.8032        0.7750       0.6065            0.6065        0.9612  0.0194  154.8394
    114            0.8414        0.7766       0.6400            0.6400        0.8794  0.0194  157.5910
    115            0.8029        0.8044       0.6111            0.6111        0.9574  0.0194  153.4290
    116            0.8306        0.7848       0.6173            0.6173        0.9457  0.0194  150.6808
    117            0.8094        0.7587       0.6165            0.6165        0.9520  0.0193  155.2862
    118            0.8133        0.7747       0.6057            0.6057        0.9450  0.0193  151.9552
    119            0.8056        0.7776       0.6107            0.6107        0.9581  0.0193  153.1448
    120            0.7693        0.7728       0.5907            0.5907        0.9884  0.0193  158.4801
    121            0.7812        0.7947       0.5980            0.5980        0.9865  0.0193  152.4722
    122            0.8248        0.7734       0.6177            0.6177        0.9334  0.0193  154.7447
    123            0.7770        0.7652       0.5914            0.5914        1.0024  0.0193  170.3193
    124            0.8372        0.7513       0.6377            0.6377        0.9102  0.0193  187.8135
    125            0.8538        0.7430       0.6404            0.6404        0.9036  0.0192  193.8259
    126            0.8160        0.7778       0.6200            0.6200        0.9466  0.0192  143.4723
    127            0.8156        0.7616       0.6049            0.6049        0.9634  0.0192  126.1200
    128            0.8310        0.7314       0.6277            0.6277        0.9184  0.0192  137.7509
    129            0.8102        0.7643       0.6196            0.6196        0.9585  0.0192  131.7843
    130            0.8534        0.7725       0.6397            0.6397        0.9137  0.0192  151.9037
    131            0.8314        0.7763       0.6258            0.6258        0.9234  0.0192  139.8584
    132            0.8206        0.7372       0.6231            0.6231        0.9468  0.0192  122.5140
    133            0.8457        0.7671       0.6304            0.6304        0.9125  0.0192  123.5057
    134            0.8600        0.7655       0.6381            0.6381        0.9140  0.0191  120.6958
    135            0.7990        0.7590       0.6073            0.6073        0.9745  0.0191  123.4495
    136            0.8302        0.7841       0.6335            0.6335        0.9384  0.0191  123.0631
    137            0.8229        0.7417       0.6231            0.6231        0.9429  0.0191  120.5933
    138            0.8511        0.7489       0.6439            0.6439        0.9191  0.0191  122.2692
    139            0.8522        0.7410       0.6443            0.6443        0.8992  0.0191  121.5507
    140            0.8113        0.7646       0.6211            0.6211        0.9575  0.0191  123.0960
    141            0.8414        0.7300       0.6265            0.6265        0.9262  0.0190  124.7557
    142            0.8673        0.7371       0.6539            0.6539        0.8746  0.0190  122.1506
    143            0.8395        0.7595       0.6316            0.6316        0.9291  0.0190  122.4336
    144            0.8611        0.7269       0.6404            0.6404        0.9059  0.0190  122.7208
    145            0.8299        0.7289       0.6231            0.6231        0.9433  0.0190  122.0777
    146            0.8549        0.7462       0.6377            0.6377        0.9098  0.0190  122.4001
    147            0.8630        0.7534       0.6400            0.6400        0.9111  0.0190  122.6687
    148            0.8434        0.7182       0.6354            0.6354        0.9179  0.0190  122.0337
    149            0.8468        0.7332       0.6354            0.6354        0.9424  0.0189  123.6396
    150            0.8623        0.7490       0.6424            0.6424        0.8987  0.0189  121.3250
    151            0.8519        0.7063       0.6481            0.6481        0.9060  0.0189  123.9944
    152            0.8546        0.7385       0.6316            0.6316        0.9193  0.0189  123.9057
    153            0.8295        0.7218       0.6134            0.6134        0.9780  0.0189  124.2025
    154            0.8542        0.7598       0.6231            0.6231        0.9617  0.0189  122.8421
    155            0.8696        0.7151       0.6501            0.6501        0.8688  0.0189  122.2133
    156            0.8410        0.7512       0.6208            0.6208        0.9340  0.0188  123.2257
    157            0.8742        0.7139       0.6381            0.6381        0.9040  0.0188  121.7043
    158            0.8368        0.7287       0.6316            0.6316        0.9567  0.0188  120.6859
    159            0.8765        0.7351       0.6493            0.6493        0.8852  0.0188  118.9346
