  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
     71            0.9757        0.3638       0.5451            0.5451        1.2257  0.0001  55.2666
     72            0.9699        0.3673       0.5336            0.5336        1.2466  0.0001  52.8765
     73            0.9788        0.3409       0.5424            0.5424        1.2568  0.0001  55.2601
     74            0.9772        0.3512       0.5374            0.5374        1.2574  0.0001  53.7623
     75            0.9753        0.3492       0.5374            0.5374        1.2331  0.0001  55.9645
     76            0.9772        0.3489       0.5394            0.5394        1.3041  0.0001  55.5021
     77            0.9807        0.3400       0.5394            0.5394        1.2562  0.0001  53.3699
     78            0.9807        0.3303       0.5417            0.5417        1.2344  0.0001  54.6439
     79            0.9826        0.3291       0.5424            0.5424        1.2426  0.0001  54.2641
     80            0.9823        0.3287       0.5444            0.5444        1.2507  0.0001  57.2039
     81            0.9819        0.3175       0.5401            0.5401        1.2680  0.0001  53.5311
     82            0.9834        0.3231       0.5401            0.5401        1.2595  0.0000  55.9667
     83            0.9850        0.3292       0.5459            0.5459        1.2370  0.0000  54.1120
     84            0.9838        0.3310       0.5401            0.5401        1.2516  0.0000  55.8659
     85            0.9834        0.3264       0.5421            0.5421        1.2566  0.0000  58.1591
     86            0.9850        0.3363       0.5440            0.5440        1.2482  0.0000  55.2063
     87            0.9834        0.3288       0.5397            0.5397        1.2503  0.0000  61.0852
     88            0.9830        0.3131       0.5421            0.5421        1.2493  0.0000  66.0699
     89            0.9838        0.3126       0.5432            0.5432        1.2424  0.0000  69.9059
     90            0.9857        0.3181       0.5413            0.5413        1.2481  0.0000  71.8008
     91            0.9857        0.3151       0.5417            0.5417        1.2463  0.0000  66.5903
     92            0.9846        0.3051       0.5397            0.5397        1.2532  0.0000  60.9099
     93            0.9861        0.3199       0.5436            0.5436        1.2494  0.0000  61.7908
     94            0.9846        0.3144       0.5405            0.5405        1.2520  0.0000  58.3533
     95            0.9865        0.3137       0.5436            0.5436        1.2506  0.0000  58.6668
     96            0.9857        0.3038       0.5424            0.5424        1.2500  0.0000  55.7852
     97            0.9857        0.3073       0.5409            0.5409        1.2515  0.0000  55.4740
     98            0.9850        0.3094       0.5413            0.5413        1.2520  0.0000  53.2499
     99            0.9861        0.3126       0.5444            0.5444        1.2496  0.0000  58.5485
    100            0.9861        0.3170       0.5421            0.5421        1.2498  0.0000  56.3187
Elapsed time: 7291.049953699112 seconds
