  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
     83            0.8376        0.7703       0.6265            0.6265        0.9890  0.0197  66.5350
     84            0.8538        0.7538       0.6339            0.6339        0.9883  0.0197  58.9373
     85            0.7894        0.7664       0.6034            0.6034        1.2013  0.0197  60.4248
     86            0.8291        0.7927       0.6242            0.6242        1.0353  0.0196  60.6755
     87            0.8484        0.8027       0.6292            0.6292        1.0050  0.0196  62.0193
     88            0.8692        0.7506       0.6443            0.6443        0.9483  0.0196  59.4347
     89            0.8619        0.7596       0.6489            0.6489        0.9504  0.0196  58.0202
     90            0.8735        0.7401       0.6370            0.6370        0.9808  0.0196  60.2364
     91            0.7330        0.7238       0.5733            0.5733        1.2472  0.0196  63.5129
     92            0.8295        0.7505       0.6304            0.6304        1.0687  0.0196  62.1842
     93            0.8102        0.7525       0.6130            0.6130        1.1289  0.0196  61.0630
     94            0.7867        0.7581       0.5953            0.5953        1.2164  0.0196  62.2310
     95            0.8353        0.8114       0.6346            0.6346        1.0489  0.0196  61.2416
     96            0.8715        0.7879       0.6524            0.6524        0.9860  0.0196  59.6799
     97            0.8110        0.7717       0.6115            0.6115        1.1218  0.0195  58.9258
     98            0.8364        0.7757       0.6397            0.6397        0.9941  0.0195  56.6183
     99            0.8480        0.8066       0.6265            0.6265        1.0704  0.0195  59.3334
    100            0.7596        0.7467       0.5864            0.5864        1.2148  0.0195  61.4184
    101            0.8364        0.7480       0.6238            0.6238        1.0492  0.0195  59.8271
    102            0.8272        0.7394       0.6385            0.6385        1.0264  0.0195  60.5752
    103            0.8426        0.8109       0.6316            0.6316        1.0522  0.0195  56.2640
    104            0.8538        0.7748       0.6508            0.6508        1.0301  0.0195  56.9486
    105            0.7766        0.7375       0.5887            0.5887        1.2401  0.0195  61.2918
    106            0.8549        0.7902       0.6412            0.6412        1.0076  0.0195  60.4991
    107            0.8414        0.7232       0.6316            0.6316        1.0550  0.0194  59.2302
    108            0.8499        0.7705       0.6427            0.6427        1.1088  0.0194  61.3580
    109            0.8160        0.7576       0.6103            0.6103        1.1373  0.0194  58.8395
    110            0.8569        0.7593       0.6435            0.6435        0.9970  0.0194  59.0450
    111            0.8314        0.7925       0.6323            0.6323        1.0298  0.0194  59.6090
    112            0.8476        0.8714       0.6192            0.6192        1.0536  0.0194  61.0400
    113            0.8283        0.7806       0.6343            0.6343        1.0427  0.0194  62.4389
    114            0.8144        0.7849       0.6150            0.6150        1.0942  0.0194  64.3055
    115            0.8731        0.7036       0.6466            0.6466        0.9829  0.0194  61.0918
    116            0.8310        0.7637       0.6150            0.6150        1.1255  0.0194  62.6358
    117            0.8677        0.7970       0.6404            0.6404        1.0458  0.0193  62.4407
    118            0.8684        0.7662       0.6424            0.6424        0.9793  0.0193  68.1653
    119            0.7978        0.7410       0.6015            0.6015        1.1979  0.0193  78.7943
    120            0.8700        0.7363       0.6516            0.6516        1.0667  0.0193  78.1283
    121            0.8611        0.6901       0.6420            0.6420        1.0524  0.0193  63.3344
    122            0.8889        0.7687       0.6570            0.6570        1.0015  0.0193  64.9614
    123            0.8738        0.7340       0.6443            0.6443        1.0024  0.0193  60.7610
    124            0.8619        0.6819       0.6435            0.6435        1.0502  0.0193  61.4743
    125            0.8800        0.7037       0.6485            0.6485        1.0606  0.0192  59.5099
    126            0.8665        0.7059       0.6559            0.6559        1.0621  0.0192  60.8053
    127            0.8580        0.7597       0.6562            0.6562        1.0595  0.0192  59.7184
    128            0.8762        0.7514       0.6551            0.6551        0.9859  0.0192  60.2303
    129            0.8418        0.7122       0.6350            0.6350        1.1445  0.0192  60.2983
    130            0.8646        0.7235       0.6493            0.6493        1.0516  0.0192  59.2802
    131            0.8457        0.7703       0.6277            0.6277        1.1518  0.0192  60.8987
    132            0.8931        0.7495       0.6632            0.6632        0.9762  0.0192  57.9254
    133            0.8742        0.7498       0.6628            0.6628        0.9954  0.0192  59.0708
    134            0.8908        0.7553       0.6543            0.6543        0.9980  0.0191  59.1650
    135            0.8819        0.7045       0.6524            0.6524        1.0078  0.0191  58.6870
    136            0.8067        0.6670       0.6007            0.6007        1.1911  0.0191  64.5627
    137            0.8920        0.7584       0.6516            0.6516        1.0317  0.0191  59.3133
    138            0.8711        0.7439       0.6590            0.6590        1.0434  0.0191  60.2682
    139            0.8881        0.7194       0.6393            0.6393        1.0474  0.0191  59.8643
    140            0.8731        0.6525       0.6370            0.6370        1.0701  0.0191  57.8975
    141            0.8711        0.7218       0.6570            0.6570        1.0479  0.0190  61.1752
    142            0.8684        0.7338       0.6397            0.6397        1.1075  0.0190  62.4585
    143            0.8708        0.6608       0.6478            0.6478        1.0657  0.0190  63.7628
    144            0.8688        0.7024       0.6497            0.6497        1.0579  0.0190  61.3827
    145            0.8908        0.6994       0.6474            0.6474        1.0489  0.0190  57.9655
    146            0.8630        0.7007       0.6231            0.6231        1.1211  0.0190  59.9454
    147            0.8426        0.7624       0.6478            0.6478        1.0840  0.0190  60.1032
    148            0.8866        0.6925       0.6520            0.6520        1.0862  0.0190  60.1553
    149            0.8665        0.7530       0.6408            0.6408        1.1256  0.0189  58.0018
    150            0.8742        0.7176       0.6408            0.6408        1.1084  0.0189  61.1416
    151            0.8715        0.7584       0.6505            0.6505        1.0960  0.0189  62.3527
    152            0.8646        0.7640       0.6273            0.6273        1.1218  0.0189  60.2596
    153            0.8893        0.7900       0.6528            0.6528        1.0272  0.0189  60.0101
    154            0.8812        0.7396       0.6427            0.6427        1.1593  0.0189  58.6402
    155            0.8353        0.7298       0.6169            0.6169        1.2989  0.0189  61.4990
    156            0.9124        0.6777       0.6620            0.6620        1.0048  0.0188  57.5276
    157            0.8947        0.6666       0.6451            0.6451        1.1370  0.0188  60.6860
    158            0.8746        0.7324       0.6501            0.6501        1.0167  0.0188  57.5242
    159            0.8908        0.6437       0.6609            0.6609        1.0310  0.0188  60.2661
    160            0.8970        0.6899       0.6559            0.6559        1.0448  0.0188  60.4138
    161            0.8441        0.7391       0.6231            0.6231        1.2155  0.0188  58.7632
    162            0.8785        0.7072       0.6350            0.6350        1.1289  0.0187  56.8167
    163            0.8754        0.7472       0.6242            0.6242        1.1414  0.0187  58.6230
    164            0.8407        0.7576       0.6277            0.6277        1.2007  0.0187  59.4163
    165            0.8438        0.7777       0.6416            0.6416        1.1278  0.0187  59.6277
    166            0.8630        0.7413       0.6331            0.6331        1.1374  0.0187  59.1605
    167            0.9070        0.6574       0.6478            0.6478        1.0578  0.0187  60.9920
    168            0.8873        0.6740       0.6404            0.6404        1.0930  0.0187  59.1360
    169            0.8762        0.6629       0.6481            0.6481        1.1156  0.0186  61.1603
    170            0.9082        0.6750       0.6698            0.6698        1.0208  0.0186  60.8058
    171            0.9008        0.6853       0.6478            0.6478        1.0450  0.0186  61.6228
    172            0.8438        0.7658       0.6258            0.6258        1.1958  0.0186  60.9637
    173            0.8800        0.7198       0.6485            0.6485        1.1521  0.0186  60.9596
    174            0.9024        0.7257       0.6671            0.6671        1.0556  0.0186  58.4186
    175            0.8904        0.6941       0.6462            0.6462        1.0892  0.0185  60.3215
    176            0.8796        0.7286       0.6366            0.6366        1.2044  0.0185  59.2368
    177            0.8808        0.6841       0.6427            0.6427        1.1559  0.0185  57.8379
    178            0.8372        0.7034       0.6173            0.6173        1.2341  0.0185  60.1790
    179            0.8939        0.6969       0.6501            0.6501        1.1175  0.0185  57.3205
    180            0.8515        0.6685       0.6161            0.6161        1.1779  0.0185  60.8021
    181            0.9163        0.6334       0.6520            0.6520        1.0925  0.0184  61.5296
    182            0.8700        0.6681       0.6227            0.6227        1.2142  0.0184  59.0771
    183            0.8920        0.6638       0.6370            0.6370        1.1237  0.0184  58.1468
    184            0.8611        0.6494       0.6296            0.6296        1.2062  0.0184  62.4327
    185            0.8665        0.6821       0.6196            0.6196        1.2788  0.0184  61.2484
    186            0.9113        0.6788       0.6524            0.6524        1.0730  0.0184  60.6932
    187            0.9066        0.7052       0.6590            0.6590        1.0889  0.0183  59.5885
    188            0.8850        0.6556       0.6304            0.6304        1.1595  0.0183  60.0566
    189            0.9120        0.7478       0.6647            0.6647        1.0714  0.0183  58.2977
    190            0.8846        0.7223       0.6373            0.6373        1.1566  0.0183  57.8172
    191            0.8962        0.7204       0.6705            0.6705        1.0957  0.0183  59.2044
    192            0.8762        0.6755       0.6204            0.6204        1.1994  0.0182  58.1194
    193            0.8889        0.7027       0.6493            0.6493        1.1714  0.0182  61.3115
    194            0.9043        0.6628       0.6508            0.6508        1.1058  0.0182  58.0989
    195            0.8897        0.6924       0.6485            0.6485        1.1739  0.0182  56.8678
    196            0.9163        0.6740       0.6562            0.6562        1.0645  0.0182  58.6821
    197            0.9016        0.6788       0.6481            0.6481        1.1426  0.0182  58.8327
    198            0.9174        0.7240       0.6640            0.6640        1.0718  0.0181  63.4833
    199            0.8839        0.6951       0.6651            0.6651        1.1442  0.0181  61.5387
    200            0.8870        0.6752       0.6304            0.6304        1.2391  0.0181  62.5732
    201            0.8981        0.6679       0.6427            0.6427        1.1286  0.0181  59.4494
    202            0.8827        0.7274       0.6350            0.6350        1.2241  0.0181  63.0832
    203            0.9124        0.6748       0.6632            0.6632        1.0753  0.0180  59.5875
    204            0.9174        0.6937       0.6640            0.6640        1.0894  0.0180  60.5124
    205            0.8573        0.6339       0.6184            0.6184        1.2490  0.0180  59.1026
    206            0.8981        0.6640       0.6435            0.6435        1.1240  0.0180  59.9306
    207            0.9128        0.6617       0.6528            0.6528        1.0661  0.0180  58.2082
    208            0.9267        0.6314       0.6644            0.6644        1.0722  0.0180  59.3142
    209            0.8399        0.6885       0.6219            0.6219        1.2585  0.0179  59.5640
    210            0.9039        0.6357       0.6481            0.6481        1.1473  0.0179  59.5339
    211            0.8623        0.6452       0.6046            0.6046        1.3093  0.0179  59.0200
    212            0.9360        0.7240       0.6721            0.6721        1.0598  0.0179  58.2111
    213            0.9039        0.6507       0.6543            0.6543        1.0816  0.0179  56.1705
    214            0.9290        0.6325       0.6744            0.6744        1.0642  0.0178  56.0190
    215            0.9144        0.6103       0.6404            0.6404        1.1519  0.0178  60.0380
    216            0.9194        0.6239       0.6566            0.6566        1.0625  0.0178  61.3826
    217            0.8665        0.6260       0.6358            0.6358        1.1850  0.0178  59.8545
    218            0.9028        0.6111       0.6397            0.6397        1.1293  0.0178  61.0729
    219            0.9113        0.6846       0.6539            0.6539        1.0882  0.0177  61.4388
    220            0.9290        0.6134       0.6582            0.6582        1.1016  0.0177  59.1475
    221            0.9325        0.6541       0.6698            0.6698        1.0470  0.0177  60.4374
    222            0.9074        0.6576       0.6331            0.6331        1.2087  0.0177  78.0534
    223            0.9302        0.6472       0.6578            0.6578        1.1062  0.0177  74.7288
    224            0.9248        0.5813       0.6617            0.6617        1.1097  0.0176  66.0996
    225            0.9205        0.6053       0.6508            0.6508        1.1453  0.0176  68.4846
    226            0.9232        0.6703       0.6586            0.6586        1.1484  0.0176  73.9823
    227            0.9213        0.6686       0.6578            0.6578        1.1480  0.0176  70.5194
    228            0.9140        0.6291       0.6674            0.6674        1.1099  0.0176  62.4730
    229            0.9306        0.6588       0.6478            0.6478        1.1783  0.0175  63.6914
    230            0.8954        0.6625       0.6443            0.6443        1.2040  0.0175  69.0095
    231            0.9259        0.6776       0.6632            0.6632        1.1003  0.0175  64.1597
    232            0.9198        0.6532       0.6551            0.6551        1.1872  0.0175  65.5360
    233            0.9120        0.6388       0.6597            0.6597        1.1301  0.0175  64.1207
    234            0.9008        0.6445       0.6512            0.6512        1.1497  0.0174  67.9835
    235            0.9209        0.6302       0.6535            0.6535        1.1391  0.0174  69.4151
    236            0.8981        0.6517       0.6478            0.6478        1.1636  0.0174  66.4946
    237            0.9082        0.6474       0.6535            0.6535        1.1854  0.0174  68.4724
    238            0.9132        0.6620       0.6420            0.6420        1.1601  0.0173  66.7195
    239            0.9321        0.5977       0.6667            0.6667        1.1134  0.0173  65.2932
    240            0.9194        0.6448       0.6520            0.6520        1.1835  0.0173  71.0708
    241            0.9232        0.6187       0.6389            0.6389        1.1742  0.0173  62.3374
    242            0.9398        0.5895       0.6593            0.6593        1.0975  0.0173  65.6889
    243            0.8796        0.6132       0.6412            0.6412        1.2091  0.0172  63.9002
    244            0.9178        0.6098       0.6605            0.6605        1.1435  0.0172  61.8927
    245            0.9483        0.6021       0.6698            0.6698        1.1015  0.0172  63.8865
    246            0.9313        0.6499       0.6617            0.6617        1.1611  0.0172  62.6166
Stopping since valid_loss has not improved in the last 200 epochs.
Elapsed time: 19769.561596393585 seconds
